132	Es.col.1866-HMPREF9550_01266-CheA-F7-1
133	Sa.sha.2304-SSPSH_03917-CheA-F7-1
134	Xa.gar.2555-XGA_0190-CheA-F7-1
135	Xa.cam.1345-XCC1885-CheA-F7-1
136	Ra.sol.985-RSp1408-CheA-F7-1
137	De.ace.1778-Dace_3087-CheA-Acf-1
138	Cl.bei.327-Cbei_4019-CheA-F7-1
139	Bu.phy.211-Bphyt_3815-CheA-F7-1
140	Vi.bra.2503-VIBR0546_07552-CheA-F6-1
141	Vi.vul.1328-VV1_1955-CheA-F6-1
142	Vi.alg.2501-V12G01_22903-CheA-F6-1
143	Ac.ave.2600-Acav_3454-CheA-F8-1
144	Xa.alb.1342-XALc_1369-CheA-F7-1
145	Bu.pse.1624-BURPS305_3663-CheA-F7-1
146	Me.301.769-M301_1686-CheA-F7-1
147	Ha.xan.579-Halxa_3515-CheA-F1-1
148	Bu.amb.196-Bamb_0169-CheA-F7-1
149	Geobac.541-GM18_2178-CheA-Acf-1
150	Ha.elo.578-HELO_4342-CheA-F7-1
151	Sa.bon.2651-SBG_1757-CheA-F7-1
152	Bu.ubo.1639-BuboB_010100021086-CheA-F7-1
153	Ps.men.955-Pmen_0408-CheA-Tfp-1
154	Ed.tar.1790-EDWATA_01493-CheA-F7-1
155	Th.dre.2854-ThidrDRAFT_1795-CheA-F9-1
156	Ed.ict.444-NT01EI_1458-CheA-F7-1
157	Vi.met.2528-VIB_000829-CheA-F6-1
158	Vi.mim.2529-VII_001760-CheA-F6-1
159	Sa.ent.2318-SentesTyp_010100034378-CheA-F7-1
160	Cl.the.1738-Cther_2205-CheA-F7-1
161	Geobac.541-GM18_1418-CheA-F8-1
162	Ps.aer.2247-PA39016_004050039-CheA-Tfp-1
163	No.nit.2156-Y88_1601-CheA-F7-1
164	En.clo.2934-EcWSU1_02820-CheA-F7-1
165	Vi.cho.2511-VCF_003076-CheA-F6-1
166	Vi.cho.2505-VCG_002009-CheA-F6-1
167	Vi.cho.2512-VCH_001534-CheA-F6-1
168	Vi.cho.1322-VC0395_A1651-CheA-F6-1
169	Ge.obs.1930-GobsU_010100019716-CheA-Uncat-1
170	Ye.pes.2572-YpB42003004_1915-CheA-F7-1
171	Ye.pes.2580-YPH_4048-CheA-F7-1
172	Ye.pse.1368-YpsIP31758_1638-CheA-F7-1
173	Ye.pes.1360-YpAngola_A2825-CheA-F7-1
174	Sa.ent.1050-SC1928-CheA-F7-1
175	Acidob.14-AciX9_1073-CheA-F5-1
176	Ye.kri.2565-ykris0001_37330-CheA-F7-1
177	Al.ehr.41-Mlg_0988-CheA-F6-1
178	Me.uni.2097-METUNv1_02622-CheA-F6-1
179	Xe.nem.1352-XNC1_1623-CheA-F7-1
180	Ps.flu.952-PFLU5748-CheA-Tfp-1
181	Me.cic.714-Mesci_6451-CheA-Acf-1
182	Ho.foe.3044-HolfoDRAFT_3276-CheA-F5-1
183	No.pen.2907-NSU_0835-CheA-F7-1
184	Zy.mob.2665-Zymop_1110-CheA-F7-1
185	Ha.pau.1954-ZOD2009_04507-CheA-F1-1
186	Gr.hol.1938-VHA_000737-CheA-F7-1
187	Az.vin.82-Avin_24340-CheA-F7-1
188	Sp.the.1114-STHERM_c01160-CheA-Uncat-1
189	Ca.bes.222-Athe_1770-CheA-F7-1
190	Oc.gra.2160-OG2516_05413-CheA-F7-1
191	Ac.cel.2939-AcelC_020100005068-CheA-F7-1
192	Vi.cor.2524-VIC_002174-CheA-F7-1
193	Ro.den.1034-RD1_3059-CheA-F7-1
194	Ps.syr.2255-PsyrptA_020100010143-CheA-Tfp-1
195	su.sym.2861-TevJSym_bq00010-CheA-Tfp-1
196	Ac.cel.1381-AceceDRAFT_4168-CheA-F7-1
197	De.fru.1776-DesfrDRAFT_0418-CheA-Uncat-1
198	Ac.bac.2940-HMPREF9946_04606-CheA-F5-1
199	Rh.sph.2277-RSWS8N_02425-CheA-F7-1
200	Te.tur.1242-TERTU_0236-CheA-Tfp-1
201	Es.col.1868-HMPREF9552_03265-CheW-Uncat-1
202	Ro.cas.1033-Rcas_4206-CheA-Acf-1
203	De.del.2590-NPH_6186-CheA-Acf-1
204	An.deh.56-A2cp1_2583-CheA-F7-1
205	Cl.cel.339-Ccel_2315-CheA-F7-1
206	Ca.obs.226-COB47_1583-CheA-F7-1
207	De.mag.425-DMR_19060-CheA-Uncat-1
208	Rh.sph.997-Rsph17025_1637-CheA-F7-1
209	Rh.etl.991-RHECIAT_CH0000716-CheA-F7-1
210	Sa.deg.1042-Sde_3629-CheA-Tfp-1
211	Ac.bau.1389-HMPREF0020_02937-CheA-Tfp-1
212	Hy.den.610-Hden_3069-CheA-F7-1
213	Ac.mar.1-AM1_0913-CheA-Tfp-1
214	Ca.cre.279-CC_0433-CheA-F7-1
215	Xa.ory.1350-PXO_01607-CheA-Tfp-1
216	Ag.rad.32-Arad_0850-CheA-F7-1
217	Ma.mag.2703-Magn03002847-CheA-Uncat-1
218	De.sui.3001-Dsui_0656-CheA-Tfp-1
219	Ma.pur.2753-MarpuDRAFT_1404-CheA-Tfp-1
220	Rh.pal.1007-RPE_4284-CheA-F5-1
221	Sp.afr.3068-SpiafDRAFT_0240-CheA-Uncat-1
222	Cl.dif.1716-CdifQCD-CheA-7_020200002896-F7-1
223	Cl.dif.342-CD196_0479-CheA-F7-1
224	Nitros.856-NAL212_0414-CheA-Tfp-1
225	Ra.eut.981-Reut_A2619-CheA-Tfp-1
226	Ga.cap.528-Galf_1018-CheA-F6-1
227	Ps.syr.2255-PsyrptA_020100027906-CheA-Acf-1
228	Cu.met.381-Rmet_3969-CheA-Acf-1
229	Ox.bac.2170-IMCC9480_2130-CheA-Tfp-1
230	Cyanot.385-Cyan7425_1065-CheA-Tfp-1
231	Ps.syr.2256-PsyrptK_010100002002-CheA-Acf-1
232	Roseob.2289-RSK20926_01617-CheA-F7-1
233	Me.sil.711-Mesil_1847-CheA-Uncat-1
234	Ac.cal.2598-Atc_1449-CheA-Uncat-1
235	Magnet.699-Mmc1_3576-CheA-F5-2
236	Ps.put.959-PputW619_4126-CheA-Acf-1
237	Ci.fre.2956-HMPREF9428_01798-CheA-F7-1
238	Polaro.912-Bpro_1140-CheA-Tfp-1
239	Bu.pse.214-BURPS668_A2683-CheA-Acf-1
240	Bu.pse.1633-BpseN_010100035859-CheA-Acf-1
241	Bu.pse.1628-Bpseu9_010100036548-CheA-Acf-1
242	Si.mel.1101-Sinme_6043-CheA-Acf-1
243	Ar.max.1452-AmaxDRAFT_3211-CheA-Acf-1
244	Magnet.699-Mmc1_2285-CheA-F5-1
245	Bu.mal.1616-BMAPRL20_0207-CheA-Acf-1
246	Ac.mar.1-AM1_3739-CheA-Tfp-1
247	An.var.51-Ava_0505-CheA-Tfp-1
248	St.aur.1144-STAUR_3423-CheA-Acf-1
249	Fische.2815-FJSC11DRAFT_0521-CheA-Tfp-1
250	St.aur.1144-STAUR_6706-CheA-Acf-1
251	Mo.cur.779-HMPREF0573_10887-CheA-F5-2
252	Mo.cur.2104-HMPREF0388_0403-CheA-F5-2
253	Co.fun.2621-CFU_0797-CheA-Tfp-1
254	So.cel.1104-sce2657-CheA-F13-1
255	Ralsto.2841-HMPREF0989_00303-CheA-Acf-1
256	Vi.cho.2516-A51_B2125-CheA-F6-1
257	Ca.obs.226-COB47_2005-CheA-Uncat-1
258	Bu.tha.1637-Bpse38_010100027894-CheA-Acf-1
259	Cyanot.383-cce_4190-CheA-Tfp-1
260	En.aer.1796-ENHAE0001_0420-CheA-Tfp-1
261	Sphing.2783-SLG_04010-CheA-F5-1
262	Th.elo.1279-tll0568-CheA-Tfp-1
263	Tr.pri.3073-TpriZ_010100006497-CheA-Uncat-1
264	St.aur.2381-STIAU_1049-CheA-Acf-1
265	Ac.cel.16-Acel_1793-CheA-F5-2
266	De.pos.2882-DespoDRAFT_2316-CheA-F5-3
267	Ra.sol.987-RPSI07_mp1757-CheA-Acf-1
268	Bu.amb.196-Bamb_5517-CheA-Acf-1
269	My.xan.832-MXAN_6964-CheA-F13-1
270	No.pun.865-Npun_R6010-CheA-Tfp-1
271	Bu.383.192-Bcep18194_B2304-CheA-Acf-1
272	Nostoc.864-all1068-CheA-Tfp-1
273	Va.par.1312-Varpa_5223-CheA-Tfp-1
274	Ca.kro.225-Calkro_0487-CheW-F1-1
275	Tr.ery.1304-Tery_0714-CheA-Tfp-1
276	My.ful.2640-LILAB_16155-CheA-Acf-1
277	Ca.lac.1642-CallaDRAFT_0725-CheW-F1-1
278	Mi.vag.2100-MicvaDRAFT_3726-CheA-Tfp-1
279	Me.rub.710-Mrub_0907-CheA-Uncat-1
280	Acaryo.2872-ACCM5_010100017563-CheA-Tfp-1
281	Th.eth.2469-TeCCSD1DRAFT_0188-CheW-F1-1
282	Cl.bei.327-Cbei_3954-CheW-F1-1
283	De.thi.1773-Dthio_PD0236-CheA-F5-1
284	Ha.ore.585-Hore_22600-CheW-F7-1
285	Cr.wat.1768-CwatDRAFT_5606-CheA-Tfp-1
286	Ma.mag.700-amb1964-CheW-Acf-1
287	Cl.dif.1713-CdifQCD_020200002550-CheW-F7-1
288	Ac.ave.2600-Acav_0854-CheA-Tfp-1
289	Ac.rad.2789-AradN_010100004588-CheA-Tfp-1
290	Ki.rad.624-Krad_1846-CheW-F9-1
291	Ro.cer.2291-HMPREF0731_4422-CheW-F9-1
292	De.the.432-Dester_0048-CheW-F14-1
293	Cyanot.386-Cyan7822_1126-CheA-Tfp-1
294	Le.int.680-LIC12457-CheW-F1-1
295	Vi.cho.2510-VCE_002716-CheW-F9-3
296	Ca.owe.227-Calow_0440-CheW-Uncat-1
297	Ca.val.2955-HMPREF9080_01518-CheA-Tfp-1
298	Ba.cer.1485-bcere0007_15680-CheV-1
299	Ba.wei.120-BcerKBAB4_1573-CheV-1
300	Bu.pse.1626-Bpse7_010100021600-CheW-F7-1
301	Bu.pse.215-BPSL3305-CheW-F7-1
302	Me.fer.723-Mefer_0642-CheW-F1-1
303	Burkho.1611-BH160DRAFT_7184-CheW-F7-1
304	Eu.cel.1894-EubceDRAFT_0358-CheW-Uncat-1
305	Ba.cer.94-BCAH187_A1832-CheV-1
306	Ba.cer.1497-bcere0006_15140-CheV-1
307	Th.xyl.1256-Thexy_2015-CheW-F11-1
308	Bu.glu.203-bglu_1g01840-CheW-F7-1
309	Cr.wat.1768-CwatDRAFT_6099-CheV-1
310	Bacill.2948-HMPREF1014_04048-CheV-1
311	Ba.thu.1532-bthur0006_15470-CheV-1
312	Ba.thu.1530-bthur0011_14810-CheV-1
313	Ba.thu.1525-bthur0013_15570-CheV-1
314	Ba.cer.1507-bcere0023_16010-CheV-1
315	Ba.cer.97-BC1654-CheV-1
316	Ba.thu.1529-bthur0008_15310-CheV-1
317	Ba.cer.1489-bcere0015_15370-CheV-1
318	Ba.ant.1473-BantC_010100005280-CheV-1
319	Ba.ant.1474-BantKB_010100008307-CheV-1
320	Ba.cer.93-BCA_1717-CheV-1
321	Ba.cer.1488-bcere0010_15200-CheV-1
322	Ba.thu.1538-bthur0001_15430-CheV-1
323	Vi.cho.2510-VCE_002716-CheW-F9-1
324	Ca.Des.250-Daud_1793-CheW-F1-1
325	Ci.you.1689-CIT292_06678-CheW-F7-1
326	Bu.vie.219-Bcep1808_0216-CheW-F7-1
327	De.pep.1780-Dpep_1321-CheW-F1-3
328	Ca.cre.279-CC_0434-CheW-F7-1
329	Ca.cre.280-CCNA_00443-CheW-F7-1
330	Bacill.1460-BB14905_20978-CheW-F1-1
331	Cl.dif.1717-CdifQCD-CheW-_020200002515-F7-1
332	Th.sul.1291-Tgr7_1063-CheV-1
333	Al.vin.44-Alvin_2465-CheW-F9-2
334	Bo.per.156-BP1029-CheW-F7-1
335	He.mod.601-HM1_1415-CheW-F1-1
336	Ge.aur.531-GAU_1338-CheA-Uncat-1
337	Al.mac.1437-AmacA2_010100012287-CheW-F7-1
338	De.mer.2807-DesmerDRAFT_0813-CheW-F1-1
339	He.fel.588-HFELIS_07450-CheW-F3-1
340	Me.mob.770-Mmol_0815-CheW-F7-1
341	Me.ext.760-MexAM1_META1p1421-CheA-F5-2
342	Me.bur.728-Mbur_0357-CheW-F1-1
343	Me.nod.763-Mnod_1691-CheA-F5-2
344	Le.bif.676-LBF_2325-CheW-F1-1
345	Oc.ihe.869-OB2542-CheW-F1-1
346	Ba.sub.1523-BSU6633_07161-CheW-F1-1
347	Li.mon.2054-Lmon1_020100003127-CheV-1
348	Li.mon.2067-LmonF1_010100003336-CheV-1
349	Li.mon.692-LMHCC_1936-CheV-1
350	Li.mon.2070-LMPG_00244-CheV-1
351	Li.wel.696-lwe0658-CheV-1
352	Li.mon.2060-LmonocytFSL_020200005090-CheV-1
353	Li.mon.2058-LMBG_00537-CheV-1
354	Li.mon.2068-LMSG_02367-CheV-1
355	Li.mon.689-LM5923_0723-CheV-1
356	Ne.cae.2151-MED92_05393-CheA-Tfp-1
357	Cyanot.384-PCC7424_1958-CheW-Tfp-1
358	Ba.sub.1522-BsubsS_010100009037-CheW-F1-1
359	Ye.pes.2573-YpE1979001_1872-CheW-F7-1
360	Vi.par.2537-VIPARK5030_A0609-CheV-1
361	Be.mar.1565-RED65_06648-CheW-F7-1
362	Bo.her.163-BH0312-CheW-F2-1
363	Ro.lit.2649-RLO149_c013730-CheW-F7-1
364	Oribac.2980-HMPREF9624_01101-CheW-Uncat-1
365	Re.bla.2269-MED297_04804-CheW-Tfp-1
366	Se.odo.2332-HMPREF0758_3186-CheW-F7-1
367	Vi.tub.2763-VITU9109_17943-CheV-1
368	Ge.the.539-Geoth_2882-CheV-1
369	Geobac.536-GY4MC1_2860-CheV-1
370	Ha.ore.585-Hore_07620-CheW-F1-1
371	Ce.per.1675-HMPREF9081_2305-CheW-Uncat-1
372	De.pro.412-Despr_0835-CheW-Uncat-1
373	Cyanot.387-PCC8801_2030-CheW-Acf-1
374	Es.col.474-EcHS_A1983-CheW-F7-1
375	Es.col.468-EcolC_1745-CheW-F7-1
376	Escher.1844-E4_010100003674-CheW-F7-1
377	Es.col.1887-ECH7EC869_4101-CheW-F7-1
378	Es.col.1882-ECH7EC4206_A0875-CheW-F7-1
379	Sh.fle.1095-SF1936-CheW-F7-1
380	Es.col.476-ECIAI39_1164-CheW-F7-1
381	Es.col.490-ECSE_2122-CheW-F7-1
382	Es.col.1849-Ec53638_4407-CheW-F7-1
383	Ge.lov.544-Glov_2121-CheW-F10-1
384	Th.sib.2855-ThisiDRAFT_1713-CheW-F9-3
385	Vibrio.2497-AND4_08867-CheV-1
386	Ja.Mar.620-mma_2827-CheW-F7-1
387	Geobac.1931-G11MC16DRAFT_1280-CheW-F1-1
388	Bo.val.1598-BVAVS116_0311-CheW-F2-1
389	Ac.mul.11-ACMV_30380-CheW-F7-1
390	De.aut.411-HRM2_36500-CheA-F5-1
391	Zy.mob.2665-Zymop_1105-CheW-F7-1
392	Sa.ent.1063-STM1920-CheW-F7-1
393	Sa.ent.2305-SeI_A2472-CheW-F7-1
394	Sp.new.2723-HMPREF9372_1483-CheV-1
395	Pe.mob.903-Pmob_0388-CheW-F1-1
396	Vi.cho.1321-VC1402-CheW-F9-2
397	Vi.cho.2518-VIJ_002518-CheW-F9-2
398	An.hyd.1438-HMPREF1705_01752-CheV-1
399	Vi.cho.1321-VCA1093-CheW-F7-1
400	Vi.cho.2509-A5E_A0012-CheW-F7-1
401	Me.met.768-Metme_2155-CheW-F7-1
402	Bu.mal.204-BMA1129-CheW-F7-1
403	Bu.pse.1628-Bpseu9_010100010745-CheW-F7-1
404	La.bac.3045-HMPREF0995_04690-CheW-Uncat-1
405	Su.aut.1218-Saut_0976-CheV-1
406	Serrat.1069-SerAS9_3074-CheW-F7-1
407	Serrat.1068-SerAS12_3075-CheW-F7-1
408	Li.iva.2052-NT05LI_0837-CheV-1
409	Li.see.695-lse_0600-CheV-1
410	Se.ora.2329-HMPREF9166_2144-CheW-F1-1
411	He.ars.603-HEAR3089-CheW-F7-1
412	Bo.dut.161-BDU_315-CheW-F2-1
413	Ca.nit.229-Calni_0785-CheV-1
414	su.sym.2860-Rifp1Sym_ab00550-CheW-F7-1
415	Vi.alg.2502-VMC_42400-CheV-1
416	Ma.med.707-Marme_1101-CheW-F7-1
417	Vi.cho.2510-VCE_001776-CheW-F7-1
418	Se.nox.2327-HMPREF7545_1950-CheV-1
419	Bo.bur.160-BbuZS7_0317-CheW-F2-1
420	Th.dre.2854-ThidrDRAFT_1801-CheW-F9-2
421	De.baa.406-Deba_0677-CheV-1
422	My.xan.832-MXAN_6963-CheW-F13-1
423	Se.ora.2329-HMPREF9166_0415-CheV-1
424	Al.met.42-Amet_3760-CheW-F1-1
425	Rh.fer.1004-Rfer_0991-CheW-F7-1
426	De.ret.414-Dret_0658-CheW-F8-1
427	Sphing.2343-SKA58_05660-CheA-F5-1
428	Vi.rot.2858-VrotD_010100012236-CheV-1
429	Ca.Kor.254-Acid345_1773-CheW-F2-1
430	Me.fla.757-Mfla_1935-CheW-F7-1
431	Ce.jap.286-CJA_1934-CheV-1
432	Carnob.276-CAR_c20130-CheW-F1-1
433	Mo.cur.2105-HMPREF0576_1416-CheW-F5-1
434	Mo.cur.2104-HMPREF0388_0404-CheW-F5-1
435	Ba.coa.103-BCO26_0945-CheV-1
436	Br.bre.173-BBR47_40300-CheW-F1-1
437	Vi.ang.1318-VAA_01904-CheW-F7-1
438	Cyanot.1769-CY0110_24436-CheW-Tfp-1
439	De.ace.405-Dacet_2723-CheW-F9-2
440	Cyanot.388-Cyan8802_0793-CheW-F1-1
441	Cl.bot.334-CbC4_1082-CheW-F1-1
442	Pa.ana.885-PANA_2229-CheW-F7-1
443	Se.ora.2328-HMPREF9162_1891-CheV-1
444	Ps.stu.960-PST_3951-CheW-Tfp-1
445	Psychr.2264-PCNPT3_04259-CheV-1
446	Ga.gam.2592-IMCC1989_2724-CheV-1
447	St.mal.1142-Smlt3672-CheW-Tfp-1
448	De.ind.430-Selin_1236-CheW-Uncat-1
449	Ba.lic.107-BLi01614-CheV-1
450	Ae.sal.27-ASA_1363-CheW-F6-1
451	Ni.eur.857-NE1865-CheW-F7-1
452	Cl.tet.354-CTC01728-CheW-F1-1
453	Xa.ory.1349-XOO_1369-CheW-F8-1
454	Al.mac.1437-AmacA2_010100006974-CheW-F9-2
455	Vi.fis.1324-VFMJ11_A0929-CheV-1
456	Ps.syr.2252-Psyrpa2_010100004981-CheW-F6-1
457	Ps.syr.2254-POR16_37249-CheW-F6-1
458	Sulfur.1216-SYO3AOP1_0924-CheV-1
459	Na.mag.836-Nmag_2885-CheW-F1-1
460	An.fla.62-Aflv_1927-CheV-1
461	So.cel.1104-sce1227-CheW-F8-1
462	Sh.sed.1088-Ssed_2899-CheV-1
463	Vi.sin.2540-VISI1226_03535-CheV-1
464	Nocard.862-Noca_3603-CheW-F5-1
465	Bradyr.171-BRADO7003-CheA-F5-2
466	Xa.cam.2551-XcampmN_010100001377-CheW-F8-1
467	De.sal.426-Desal_1169-CheV-1
468	Ge.met.545-Gmet_1079-CheW-F7-1
469	Al.den.38-Alide2_3143-CheW-F7-1
470	Vi.cho.2520-VCB_002650-CheV-1
471	Vi.cho.2518-VIJ_002860-CheV-1
472	Vi.cho.2519-VCC_002640-CheV-1
473	Vi.cho.2522-VCV52_1578-CheV-1
474	Vi.cho.2512-VCH_001301-CheV-1
475	Vi.cho.2871-Vch1786_I1101-CheV-1
476	Vi.cho.1322-VC0395_A1207-CheV-1
477	Vi.cho.2523-VCA_001597-CheV-1
478	Vi.cho.2507-VC274080_2042-CheV-1
479	Vi.cho.2519-VCC_003024-CheV-1
480	Ge.lov.544-Glov_1831-CheW-F12-1
481	Vibrio.2500-VOA_002352-CheV-1
482	Ps.tun.2244-PTD2_12199-CheV-1
483	Bacill.1460-BB14905_16710-CheV-1
484	Vi.cho.2508-A59_1663-CheV-1
485	De.mer.2807-DesmerDRAFT_0765-CheV-1
486	Va.par.1313-Vapar_4190-CheW-F7-1
487	Ps.BSi.2919-P20652_1586-CheW-F7-1
488	Me.alc.2865-MEALZ_0988-CheV-1
489	Ar.nit.69-Arnit_0889-CheV-1
490	Xa.per.2557-XPE_3323-CheW-F8-1
